,Station ID,start station name,Flow,start station latitude,start station longitude
166,419,Carlton Ave & Park Ave,127,40.69580705,-73.97355569
167,420,Clermont Ave & Lafayette Ave,-78,40.68764484,-73.96968902
168,421,Clermont Ave & Park Ave,-13,40.69573398,-73.97129668
169,422,W 59 St & 10 Ave,-524,40.770513,-73.988038
170,423,W 54 St & 9 Ave,-1057,40.76584941,-73.98690506
171,426,West St & Chambers St,734,40.71754834,-74.01322069
172,427,Bus Slip & State St,146,40.701907,-74.013942
173,432,E 7 St & Avenue A,-222,40.72621788,-73.98379855
174,434,9 Ave & W 18 St,1337,40.74317449,-74.00366443
175,435,W 21 St & 6 Ave,409,40.74173969,-73.99415556
176,436,Hancock St & Bedford Ave,-26,40.68216564,-73.95399026
177,437,Macon St & Nostrand Ave,-4,40.6809833854,-73.9500479759
178,438,St Marks Pl & 1 Ave,-111,40.72779126,-73.98564945
179,439,E 4 St & 2 Ave,311,40.726280700000004,-73.98978041
180,440,E 45 St & 3 Ave,0,40.75255434,-73.97282625
181,442,W 27 St & 7 Ave,7,40.746646999999996,-73.993915
182,443,Bedford Ave & S 9 St,65,40.70853074,-73.96408963
183,445,E 10 St & Avenue A,579,40.72740794,-73.98142006
184,446,W 24 St & 7 Ave,144,40.74487634,-73.99529885
185,447,8 Ave & W 52 St,-80,40.76370739,-73.9851615
186,448,W 37 St & 10 Ave,-44,40.75660359,-73.9979009
187,450,W 49 St & 8 Ave,-825,40.76227205,-73.98788205
188,453,W 22 St & 8 Ave,444,40.74475148,-73.99915362
189,454,E 51 St & 1 Ave,-101,40.75455731,-73.96592976
190,455,1 Ave & E 44 St,-10,40.75001986,-73.96905301
191,456,E 53 St & Madison Ave,-252,40.75971079999999,-73.97402311
192,458,11 Ave & W 27 St,-50,40.751396,-74.00522600000001
193,459,W 20 St & 11 Ave,899,40.746745000000004,-74.007756
194,460,S 4 St & Wythe Ave,140,40.71285887,-73.96590294
195,461,E 20 St & 2 Ave,-799,40.73587678,-73.98205027
196,462,W 22 St & 10 Ave,174,40.74691959,-74.00451887
197,464,E 56 St & 3 Ave,-59,40.75934501,-73.96759673
198,465,Broadway & W 41 St,-469,40.75513557,-73.98658032
199,466,W 25 St & 6 Ave,2,40.74395411,-73.99144871
200,467,Dean St & 4 Ave,458,40.68312489,-73.97895137
201,468,Broadway & W 56 St,-2779,40.7652654,-73.98192338
202,469,Broadway & W 53 St,-805,40.76344058,-73.98268129
203,470,W 20 St & 8 Ave,81,40.74345335,-74.00004031
204,471,Grand St & Havemeyer St,5,40.71286844,-73.95698119
205,472,E 32 St & Park Ave,-742,40.745712100000006,-73.98194829
206,473,Rivington St & Chrystie St,617,40.72110063,-73.99192540000001
207,474,5 Ave & E 29 St,-398,40.7451677,-73.98683077
208,476,E 31 St & 3 Ave,-27,40.74394314,-73.97966069
209,477,W 41 St & 8 Ave,-1805,40.75640548,-73.9900262
210,478,11 Ave & W 41 St,9,40.76030096,-73.99884222
211,479,9 Ave & W 45 St,-66,40.76019252,-73.9912551
212,480,W 53 St & 10 Ave,-50,40.76669671,-73.99061728
213,481,S 3 St & Bedford Ave,53,40.71260486,-73.96264403
214,482,W 15 St & 7 Ave,380,40.73935542,-73.99931783
215,483,E 12 St & 3 Ave,236,40.73223272,-73.98889957
216,484,W 44 St & 5 Ave,232,40.75500254,-73.98014437
